Country,Total_Cases,Total_Deaths
Pakistan,1577411.0,30644.0
Palau,5991.0,9.0
Panama,1031731.0,8609.0
Papua New Guinea,46825.0,670.0
Paraguay,808401.0,19878.0
Peru,4487553.0,219539.0
Philippines,4077452.0,66188.0
Poland,6444960.0,119010.0
Portugal,5570473.0,26266.0
Qatar,495090.0,688.0
Romania,3346046.0,67736.0
Russia,22075858.0,388478.0
Rwanda,133194.0,1468.0
Saint Kitts and Nevis,6597.0,47.0
Saint Lucia,30004.0,409.0
Saint Vincent and the Grenadines,9589.0,123.0
Samoa,16607.0,29.0
San Marino,23616.0,122.0
Sao Tome and Principe,6281.0,77.0
Saudi Arabia,830127.0,9618.0
Senegal,88926.0,1971.0
Serbia,2500142.0,17881.0
Seychelles,50665.0,172.0
Sierra Leone,7760.0,126.0
Singapore,2235294.0,1722.0
Slovakia,2667551.0,21035.0
Slovenia,1331707.0,7078.0
Solomon Islands,24575.0,153.0
Somalia,27324.0,1361.0
South Africa,4067067.0,102595.0
South Sudan,18368.0,138.0
Spain,13770429.0,119479.0
Sri Lanka,672039.0,16830.0
Sudan,63829.0,5017.0
Summer Olympics 2020,865.0,0.0
Suriname,82467.0,1404.0
Sweden,2699339.0,23777.0
Switzerland,4413911.0,14210.0
Syria,57467.0,3164.0
Taiwan*,9970936.0,17672.0
Tajikistan,17786.0,125.0
Tanzania,42906.0,846.0
Thailand,4728178.0,33918.0
Timor-Leste,23419.0,138.0
Togo,39396.0,290.0
Tonga,16810.0,13.0
Trinidad and Tobago,189918.0,4355.0
Tunisia,1151126.0,29341.0
Turkey,17042722.0,101492.0
Tuvalu,2805.0,0.0
US,103802701.0,1123836.0
Uganda,170544.0,3630.0
Ukraine,5711929.0,119283.0
United Arab Emirates,1053213.0,2349.0
United Kingdom,3904.0,12.0
United Kingdom.1,18828.0,160.0
United Kingdom.2,7305.0,64.0
United Kingdom.3,31472.0,37.0
United Kingdom.4,0.0,0.0
United Kingdom.5,1930.0,0.0
United Kingdom.6,20433.0,111.0
United Kingdom.7,34991.0,66.0
United Kingdom.8,38008.0,116.0
United Kingdom.9,66391.0,161.0
United Kingdom.10,1403.0,8.0
United Kingdom.11,4.0,0.0
United Kingdom.12,2166.0,0.0
United Kingdom.13,6561.0,38.0
United Kingdom.14,24425309.0,219948.0
Uruguay,1034303.0,7617.0
Uzbekistan,251247.0,1637.0
Vanuatu,12014.0,14.0
Venezuela,552162.0,5854.0
Vietnam,11526994.0,43186.0
West Bank and Gaza,703228.0,5708.0
Winter Olympics 2022,535.0,0.0
Yemen,11945.0,2159.0
Zambia,343135.0,4057.0
Zimbabwe,264276.0,5671.0
